299,Sai,Black Hair,Male,"['Artist', 'Gloves', 'Headband', 'Ninja']",Anime,Manga
0,L,Black Hair,Male,"['Analytical', 'Barefoot', 'Detective', 'Eye Bags', 'Sweet Tooth']","['Death Note', 'Death Note Rewrite 1: Visions of a God', ""Death Note Rewrite 2: L's Successors""]","['Death Note', 'Death Note: L Change the World (Light Novel)', 'Death Note Short Stories', 'Death Note Special']"
1,Kakashi HATAKE,Grey Hair,Male,"['Adult', 'Anti-Gravity Hair', 'Beastmaster', 'Exotic Eyes', 'Gloves', 'Headband', 'Masks', 'Ninja', 'Scar']","['Boruto: Naruto Next Generations', 'Boruto: Naruto the Movie', 'Boruto: Naruto the Movie - The Day Naruto Became Hokage', 'Naruto', 'Naruto: Hidden Leaf Village Grand Sports Festival!', 'Naruto: Honoo no Chuunin Shiken! Naruto vs Konohamaru!!', 'Naruto Movie 1: Ninja Clash in the Land of Snow', 'Naruto Movie 3: Guardians of the Crescent Moon Kingdom', 'Naruto: Narutimate Hero 3 OVA', 'Naruto: Naruto to Mashin to Mitsu no Onegai Dattebayo!!', 'Naruto Shippuden', 'Naruto Shippuden: Konoha Gakuen Picture Drama Special', 'Naruto Shippuden Movie 1', 'Naruto Shippuden Movie 2: Bonds', 'Naruto Shippuden Movie 3: The Will of Fire', 'Naruto Shippuden Movie 4: The Lost Tower', 'Naruto Shippuden Movie 5: Blood Prison', 'Naruto Shippuden Movie 6: Road to Ninja', 'Naruto Shippuden OVA: Sage Naruto vs Sasuke', 'Naruto Special 1: Find the Crimson Four-leaf Clover!', 'Naruto Special 2: Battle at Hidden Falls. I am the Hero!', 'Naruto Spin-Off: Rock Lee & His Ninja Pals', 'Naruto: The Cross Roads', 'The Last: Naruto the Movie']","['Boruto: Naruto the Movie Tokubetsu Bangai-hen - Naruto ga Hokage ni Natta Hi', ""Kakashi's Story: The Sixth Hokage and the Failed Prince (Light Novel)"", 'Naruto', 'Naruto Secret Chronicles (Light Novel)', 'Naruto Shippuden Movie 5: Blood Prison (Light Novel)', 'Naruto: The Seventh Hokage and the Scarlet Spring', 'Road to Naruto the Movie', 'Road to Ninja: Naruto the Movie (Light Novel)', ""Rock Lee's Springtime of Youth""]"
2,Edward ELRIC,Blonde Hair,Male,"['Alchemist', 'Arm Blades', 'Artificial Limb', 'Braids', 'Gloves', 'Hair Antenna', 'Hot-Headed', 'Military', 'Ponytail', 'Teenager']","['Fullmetal Alchemist', 'Fullmetal Alchemist: Brotherhood', 'Fullmetal Alchemist: Brotherhood: 4-Koma Theater', 'Fullmetal Alchemist: Brotherhood Specials', 'Fullmetal Alchemist: Premium Collection', 'Fullmetal Alchemist: Reflections', 'Fullmetal Alchemist The Movie: Conqueror of Shamballa', 'Fullmetal Alchemist: The Sacred Star of Milos', 'Fullmetal Alchemist: The Sacred Star of Milos Specials']","['Fullmetal Alchemist', 'Fullmetal Alchemist Gaiden', 'Fullmetal Alchemist (Light Novel)', 'Fullmetal Alchemist: The Complete Four-Panel Comics', 'Fullmetal Alchemist: The Prototype']"
3,Levi,Black Hair,Male,"['Adult', 'Military', 'Ruthless', 'Stoic', 'Sword Fighter']","['Attack on Skytree', 'Attack on Titan', 'Attack on Titan 2nd Season', 'Attack on Titan 3rd Season', 'Attack on Titan 3rd Season: Part II', 'Attack on Titan 3rd Season: Part II Specials', ""Attack on Titan: Ilse's Notebook"", 'Attack on Titan: Junior High', 'Attack on Titan Movie 1: Crimson Bow and Arrow', 'Attack on Titan Movie 2: The Wings of Freedom', 'Attack on Titan Movie 3: The Roar of Awakening', 'Attack on Titan Movie 4: Chronicle', 'Attack on Titan: No Regrets', 'Attack on Titan Picture Drama', 'Attack on Titan: Since That Day', 'Attack on Titan The Final Season', 'Attack on Titan The Final Season: Part II', 'Attack on Titan The Final Season: Part III']","['Attack on Titan', 'Attack on Titan: Junior High', 'Attack on Titan: No Regrets', 'Attack on Titan: No Regrets - Prologue', 'Eren no Housoku', 'Guren no Chousa Heidan', 'Spoof on Titan', 'Ultimate Yeager']"
4,Light YAGAMI,Brown Hair,Male,"['Analytical', 'Big Ego', 'Charismatic', 'God Complex', 'Manipulative', 'Ruthless', 'Secret Identity']","['Death Note', 'Death Note Rewrite 1: Visions of a God', ""Death Note Rewrite 2: L's Successors""]",['Death Note']
5,Naruto UZUMAKI,Blonde Hair,Male,"['Beastmaster', 'Face Markings', 'Headband', 'Hot-Headed', 'Ninja', 'Orphan', 'Verbal Tic']","['Boruto: Jump Festa 2016 Special', 'Boruto: Naruto Next Generations', 'Boruto: Naruto the Movie', 'Boruto: Naruto the Movie - The Day Naruto Became Hokage', 'Naruto', 'Naruto: Hidden Leaf Village Grand Sports Festival!', 'Naruto: Honoo no Chuunin Shiken! Naruto vs Konohamaru!!', 'Naruto Movie 1: Ninja Clash in the Land of Snow', 'Naruto Movie 2: Legend of the Stone of Gelel', 'Naruto Movie 3: Guardians of the Crescent Moon Kingdom', 'Naruto: Narutimate Hero 3 OVA', 'Naruto: Naruto to Mashin to Mitsu no Onegai Dattebayo!!', 'Naruto Shippuden', 'Naruto Shippuden: Konoha Gakuen Picture Drama Special', 'Naruto Shippuden Movie 1', 'Naruto Shippuden Movie 2: Bonds', 'Naruto Shippuden Movie 3: The Will of Fire', 'Naruto Shippuden Movie 4: The Lost Tower', 'Naruto Shippuden Movie 5: Blood Prison', 'Naruto Shippuden Movie 6: Road to Ninja', 'Naruto Shippuden OVA: Sage Naruto vs Sasuke', 'Naruto Shippuden: Sunny Side Battle!', 'Naruto Special 1: Find the Crimson Four-leaf Clover!', 'Naruto Special 2: Battle at Hidden Falls. I am the Hero!', 'Naruto Spin-Off: Rock Lee & His Ninja Pals', 'Naruto: The Cross Roads', 'The Last: Naruto the Movie']","['Boruto', 'Boruto: Naruto the Movie (Light Novel)', 'Boruto: Naruto the Movie Tokubetsu Bangai-hen - Naruto ga Hokage ni Natta Hi', 'Boruto: Road to ""B""', 'Jump Super Stars', 'Naruto', 'Naruto: Dokonjou Ninden (Light Novel)', 'Naruto: Innocent Heart, Demonic Blood (Light Novel)', 'Naruto: Mission - Protect the Waterfall Village! (Light Novel)', 'Naruto Movie: Legend of the Stone of Gelel (Light Novel)', 'Naruto (Pilot)', 'Naruto Shippuden Movie 5: Blood Prison (Light Novel)', 'Naruto: Special Extra Chapter - After The Last', ""Naruto's Story: Family Day (Light Novel)"", 'Naruto: The Seventh Hokage and the Scarlet Spring', 'Road to Naruto the Movie', 'Road to Ninja: Naruto the Movie (Light Novel)', ""Rock Lee's Springtime of Youth"", 'The Last: Naruto the Movie (Light Novel)']"
6,Mikasa ACKERMAN,Black Hair,Female,"['Broken Record', 'Kuudere', 'Military', 'Orphan', 'Scarf', 'Stoic', 'Sword Fighter']","['Ai Higuchi: Akuma no Ko', 'Attack on Skytree', 'Attack on Titan', 'Attack on Titan 2nd Season', 'Attack on Titan 3rd Season', 'Attack on Titan 3rd Season: Part II', 'Attack on Titan 3rd Season: Part II Specials', 'Attack on Titan: Attack on Celebrity', ""Attack on Titan: Ilse's Notebook"", 'Attack on Titan: Junior High', 'Attack on Titan: Lost Girls', 'Attack on Titan Movie 1: Crimson Bow and Arrow', 'Attack on Titan Movie 2: The Wings of Freedom', 'Attack on Titan Movie 3: The Roar of Awakening', 'Attack on Titan Movie 4: Chronicle', 'Attack on Titan Picture Drama', 'Attack on Titan: Since That Day', 'Attack on Titan The Final Season', 'Attack on Titan The Final Season: Part II', 'Attack on Titan The Final Season: Part III', 'SiM: The Rumbling']","['Attack on Titan', 'Attack on Titan: End of the World (Light Novel)', 'Attack on Titan: Junior High', 'Attack on Titan: Lost Girls', 'Attack on Titan: Lost Girls (Light Novel)', 'Spoof on Titan']"
7,Itachi UCHIHA,Black Hair,Male,"['Beastmaster', 'Combat Illusionist', 'Exotic Eyes', 'Headband', 'Ninja', 'Ponytail', 'Stoic']","['Naruto', 'Naruto: Hidden Leaf Village Grand Sports Festival!', 'Naruto Shippuden', 'Naruto Shippuden: Konoha Gakuen Picture Drama Special', 'Naruto Shippuden Movie 6: Road to Ninja', 'Naruto Shippuden OVA: Sage Naruto vs Sasuke', 'Naruto Shippuden: Sunny Side Battle!', 'Naruto Spin-Off: Rock Lee & His Ninja Pals', 'Naruto: The Cross Roads']","['Naruto', 'Naruto: Chibi Sasuke’s Sharingan Legend', 'Naruto Secret Chronicles (Light Novel)', 'Naruto True Story (Light Novel)', 'Road to Naruto the Movie', 'Road to Ninja: Naruto the Movie (Light Novel)', ""Rock Lee's Springtime of Youth""]"
8,Ryuk,Black Hair,Male,"['Agent of the Afterlife', 'Anti-Gravity Hair', 'Immortal', 'Piercings', 'Sharp Teeth', 'Shinigami', 'Wings']","['Death Note', 'Death Note Rewrite 1: Visions of a God', ""Death Note Rewrite 2: L's Successors""]","['Death Note', 'Death Note (2020)', 'Death Note (Pilot)', 'Death Note Short Stories', 'Death Note Special']"
9,Lelouch LAMPEROUGE,Black Hair,Male,"['Analytical', 'Big Ego', 'Cape', 'Charismatic', 'Exotic Eyes', 'God Complex', 'High School Student', 'Manipulative', 'Masks', 'Mecha Pilot', 'Psychic Powers', 'Royalty', 'Ruthless', 'Student Council', 'Superpowers', 'Teenager', 'Terrorist', 'Vengeful']","['Code Geass: Akito the Exiled', 'Code Geass: Lelouch of the Rebellion', 'Code Geass: Lelouch of the Rebellion III - Glorification', 'Code Geass: Lelouch of the Rebellion I - Initiation', 'Code Geass: Lelouch of the Rebellion II - Transgression', 'Code Geass: Lelouch of the Rebellion - Kiseki no Birthday Picture Drama', 'Code Geass: Lelouch of the Rebellion - Kiseki no Birthday Picture Drama Flash Special', 'Code Geass: Lelouch of the Rebellion Picture Drama', 'Code Geass: Lelouch of the Rebellion Picture Drama - Hajimari no Zenya', 'Code Geass: Lelouch of the Rebellion R2', 'Code Geass: Lelouch of the Rebellion R2 Flash Specials', 'Code Geass: Lelouch of the Rebellion R2 Picture Drama', 'Code Geass: Lelouch of the Rebellion R2 Picture Drama - Last Moratorium', 'Code Geass: Lelouch of the Rebellion R2 Special Edition - Zero Requiem', 'Code Geass: Lelouch of the Rebellion Recaps', 'Code Geass: Lelouch of the Rebellion Special Edition - Black Rebellion', 'Code Geass Movie: Lelouch of the Re;surrection', 'Code Geass Movie: Lelouch of the Re;surrection Picture Drama', 'Code Geass: Nunnally in Wonderland']","['Barcode Geass: Hanbai no Lelouch', 'Code Geass: Lelouch of the Rebellion', 'Code Geass: Lelouch of the Rebellion - Knight: Official Comic Anthology - For Girls', 'Code Geass: Lelouch of the Rebellion (Light Novel)', 'Code Geass: Lelouch of the Rebellion - Queen: Official Comic Anthology - For Boys', 'Code Geass: Lelouch of the Re;surrection', 'Code Geass: Nightmare of Nunnally', 'Code Geass: Soubou no Oz', 'Code Geass: Suzaku of the Counterattack', 'Code Geass: Tales of an Alternate Shogunate']"
10,Gaara,Red Hair,Male,"['Earth Powers', 'Elemental Powers', 'Ninja', 'No Eyebrows', 'Stoic', 'Tattoo']","['Boruto: Naruto Next Generations', 'Boruto: Naruto the Movie', 'Naruto', 'Naruto: Hidden Leaf Village Grand Sports Festival!', 'Naruto: Honoo no Chuunin Shiken! Naruto vs Konohamaru!!', 'Naruto Movie 2: Legend of the Stone of Gelel', 'Naruto: Narutimate Hero 3 OVA', 'Naruto Shippuden', 'Naruto Shippuden: Konoha Gakuen Picture Drama Special', 'Naruto Shippuden Movie 3: The Will of Fire', 'Naruto Shippuden OVA: Sage Naruto vs Sasuke', 'Naruto Spin-Off: Rock Lee & His Ninja Pals', 'The Last: Naruto the Movie']","['Boruto', 'Naruto', 'Naruto Secret Chronicles (Light Novel)', 'Naruto: The Seventh Hokage and the Scarlet Spring', ""Rock Lee's Springtime of Youth""]"
11,Natsu DRAGNEEL,Pink Hair,Male,"['Big Eater', 'Elemental Powers', 'Eternal Optimist', 'Fire Powers', 'Hot-Headed', 'Invisibility Powers', 'Magic User', 'Orphan', 'Scarf']","['Fairy Tail', 'Fairy Tail 2', 'Fairy Tail 2 OVA', 'Fairy Tail: Final Season', 'Fairy Tail Movie 1: Phoenix Priestess', 'Fairy Tail Movie 1: Phoenix Priestess - The First Morning', 'Fairy Tail Movie 2: Dragon Cry', 'Fairy Tail OVA', 'Fairy Tail x Rave']","['Fairy Tail', 'Fairy Tail+', 'Fairy Tail: 100 Years Quest', 'Fairy Tail: Blue Mistral', 'Fairy Tail (Light Novel)', 'Fairy Tail Matsuri', 'Fairy Tail S: Tales from Fairy Tail', 'Fairy Tail the Movie: Priestess of The Phoenix - The Sunrise', 'Fairy Tail x The Seven Deadly Sins Christmas Special', 'Magazine Ohanami!!', ""Mashima Hero's""]"
12,Kirito,Black Hair,Male,"['Person in a Strange World', 'Sword Fighter', 'Teenager', 'Video Gamer', 'Warrior']","['Eromanga Sensei', 'He Wei Dao x Sword Art Online: Alicization', 'Sword Art Online', 'Sword Art Online: Alicization', 'Sword Art Online: Alicization - Recollection', 'Sword Art Online: Alicization - Reflection', 'Sword Art Online: Alicization - War of Underworld', 'Sword Art Online: Alicization - War of Underworld: Part II', 'Sword Art Online: Alicization - War of Underworld Recap', 'Sword Art Online Alternative: Gun Gale Online', 'Sword Art Online: Extra Edition', 'Sword Art Online II', 'Sword Art Online II: Debriefing', 'Sword Art Online II: Sword Art Offline II', 'Sword Art Online Movie: Ordinal Scale', 'Sword Art Online Movie: Ordinal Scale - Sword Art Offline', 'Sword Art Online: Progressive Movie 1 - Aria of a Starless Night', 'Sword Art Online: Sword Art Offline', 'Sword Art Online: Sword Art Offline - Extra Edition']","['Sword Art Online 4-koma', 'Sword Art Online: Aincrad', 'Sword Art Online: Aincrad Night of Kirito', 'Sword Art Online: Alicization Lycoris', 'Sword Art Online: Calibur', 'Sword Art Online: Celeste no Yousei (Light Novel)', 'Sword Art Online: Fairy Dance', ""Sword Art Online: Girls' Ops"", 'Sword Art Online: Hollow Realization', 'Sword Art Online (Light Novel)', 'Sword Art Online: Lisbeth Edition', ""Sword Art Online: Mother's Rosary"", 'Sword Art Online: Ordinal Scale', 'Sword Art Online: Phantom Bullet', 'Sword Art Online: Progressive', 'Sword Art Online: Progressive - Barcarolle of Froth', 'Sword Art Online: Progressive - Kuraki Yuuyami no Scherzo', 'Sword Art Online: Progressive (Light Novel)', 'Sword Art Online: Progressive - Ougonritsu no Canon', 'Sword Art Online: Project Alicization', 'Sword Art Online Side Stories (Light Novel)', 'Sword Art Online SS: Calibur SS-han (Light Novel)']"
13,Erza SCARLET,Red Hair,Female,"['Armor', 'Blinding Bangs', 'Bossy', 'Magic User', 'Sweet Tooth', 'Sword Fighter', 'Warrior']","['Fairy Tail', 'Fairy Tail 2', 'Fairy Tail 2 OVA', 'Fairy Tail: Final Season', 'Fairy Tail Movie 1: Phoenix Priestess', 'Fairy Tail Movie 2: Dragon Cry', 'Fairy Tail OVA', 'Fairy Tail x Rave']","['Fairy Girls', 'Fairy Tail', 'Fairy Tail: 100 Years Quest', 'Fairy Tail: Blue Mistral', 'Fairy Tail: Ice Trail', 'Fairy Tail Matsuri', 'Fairy Tail S: Tales from Fairy Tail', 'Fairy Tail x The Seven Deadly Sins Christmas Special', ""Mashima Hero's""]"
14,Roy MUSTANG,Black Hair,Male,"['Adult', 'Alchemist', 'Elemental Powers', 'Fire Powers', 'Gloves', 'Military']","['Fullmetal Alchemist', 'Fullmetal Alchemist: Brotherhood', 'Fullmetal Alchemist: Brotherhood: 4-Koma Theater', 'Fullmetal Alchemist: Brotherhood Specials', 'Fullmetal Alchemist: Premium Collection', 'Fullmetal Alchemist: Reflections', 'Fullmetal Alchemist The Movie: Conqueror of Shamballa', 'Fullmetal Alchemist: The Sacred Star of Milos']","['Fullmetal Alchemist', 'Fullmetal Alchemist (Light Novel)', 'Fullmetal Alchemist: The Complete Four-Panel Comics']"
15,Sebastian MICHAELIS,Black Hair,Male,"['Animal Lover', 'Butler', 'Demon', 'Human Guise', 'Immortal', 'Manipulative', 'Sadistic', 'Unconventional Weapon']","['Black Butler', 'Black Butler 2', 'Black Butler 2 Specials', 'Black Butler: Book of Circus', 'Black Butler: Book of Murder', 'Black Butler: Book of the Atlantic', 'Black Butler: His Butler, Performer', 'Black Butler Picture Drama', 'Black Butler Recap']","['Black Butler', 'Black Butler Anthology Comic']"
